date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:09	7881/7881	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Nov%202020%2010:54:46%20GMT	http://itbanglaapp2020.herokuapp.com/single.html	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/single.html	(from http://itbanglaapp2020.herokuapp.com/)
16:54:09	7878/7878	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Nov%202020%2010:54:46%20GMT	http://itbanglaapp2020.herokuapp.com/index.html	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/index-2.html	(from http://itbanglaapp2020.herokuapp.com/)
16:54:23	80189/80189	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-1393d%22	http://itbanglaapp2020.herokuapp.com/static/images/g2.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/g2.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:23	77352/77352	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-12e28%22	http://itbanglaapp2020.herokuapp.com/static/images/g3.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/g3.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:24	7908/7908	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Nov%202020%2010:55:01%20GMT	http://itbanglaapp2020.herokuapp.com/static/images/g4.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/g4.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:24	7911/7911	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Nov%202020%2010:55:01%20GMT	http://itbanglaapp2020.herokuapp.com/static/images/a44.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/a44.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:24	7911/7911	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Nov%202020%2010:55:02%20GMT	http://itbanglaapp2020.herokuapp.com/static/images/a22.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/a22.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:25	7911/7911	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Nov%202020%2010:55:02%20GMT	http://itbanglaapp2020.herokuapp.com/static/images/a33.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/a33.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:25	7896/7896	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Nov%202020%2010:55:03%20GMT	http://itbanglaapp2020.herokuapp.com/single-post.html	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/single-post.html	(from http://itbanglaapp2020.herokuapp.com/)
16:54:26	94170/94170	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-16fda%22	http://itbanglaapp2020.herokuapp.com/static/images/g1.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/g1.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:37	68302/68302	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-10ace%22	http://itbanglaapp2020.herokuapp.com/static/assets/img/blog/home-items/img3.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/assets/img/blog/home-items/img3.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:38	79790/79790	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-137ae%22	http://itbanglaapp2020.herokuapp.com/static/assets/img/blog/home-items/img1.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/assets/img/blog/home-items/img1.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:41	15170/15170	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-3b42%22	http://itbanglaapp2020.herokuapp.com/static/images/redhat.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/redhat.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:44	16506/16506	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-407a%22	http://itbanglaapp2020.herokuapp.com/static/images/oracle.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/oracle.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:45	125864/125864	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-1eba8%22	http://itbanglaapp2020.herokuapp.com/static/assets/img/blog/home-items/img2.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/assets/img/blog/home-items/img2.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:48	22081/22081	---M--	200	added ('OK')	image/png	etag:%225f1cfaa9-5641%22	http://itbanglaapp2020.herokuapp.com/static/images/pearson.png	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/pearson.png	(from http://itbanglaapp2020.herokuapp.com/)
16:54:50	26065/26065	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-65d1%22	http://itbanglaapp2020.herokuapp.com/static/images/prometric.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/prometric.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:54:51	15689/15689	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Nov%202020%2010:55:28%20GMT	http://itbanglaapp2020.herokuapp.com/about.html	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/about.html	(from http://itbanglaapp2020.herokuapp.com/)
16:54:52	7869/7869	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Nov%202020%2010:55:29%20GMT	http://itbanglaapp2020.herokuapp.com/ta.html	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/ta.html	(from http://itbanglaapp2020.herokuapp.com/)
16:54:56	305770/305770	---M--	200	added ('OK')	image/png	etag:%225f1cfaa9-4aa6a%22	http://itbanglaapp2020.herokuapp.com/static/images/welcome.png	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/welcome.png	(from http://itbanglaapp2020.herokuapp.com/)
16:54:57	4576/4576	---M--	200	added ('OK')	application/javascript	etag:%225f1cfaa9-11e0%22	http://itbanglaapp2020.herokuapp.com/static/js/jquery.vide.min.js	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/js/jquery.vide.min.js	(from http://itbanglaapp2020.herokuapp.com/)
16:54:58	3397/3397	---M--	200	added ('OK')	application/javascript	etag:%225f1cfaa9-d45%22	http://itbanglaapp2020.herokuapp.com/static/js/responsiveslides.min.js	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/js/responsiveslides.min.js	(from http://itbanglaapp2020.herokuapp.com/)
16:55:00	8044/8044	---M--	200	added ('OK')	application/javascript	etag:%225f1cfaa9-1f6c%22	http://itbanglaapp2020.herokuapp.com/static/js/waypoints.min.js	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/js/waypoints.min.js	(from http://itbanglaapp2020.herokuapp.com/)
16:55:01	1067/1067	---M--	200	added ('OK')	application/javascript	etag:%225f1cfaa9-42b%22	http://itbanglaapp2020.herokuapp.com/static/js/counterup.min.js	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/js/counterup.min.js	(from http://itbanglaapp2020.herokuapp.com/)
16:55:01	4035/4035	---M--	200	added ('OK')	text/css	etag:%225f1cfaa9-fc3%22	http://itbanglaapp2020.herokuapp.com/static/css/flexslider.css	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/css/flexslider.css	(from http://itbanglaapp2020.herokuapp.com/)
16:55:05	84345/84345	---M--	200	added ('OK')	application/javascript	etag:%225f1cfaa9-14979%22	http://itbanglaapp2020.herokuapp.com/static/js/jquery-2.1.4.min.js	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/js/jquery-2.1.4.min.js	(from http://itbanglaapp2020.herokuapp.com/)
16:55:08	41110/41110	---M--	200	added ('OK')	application/javascript	etag:%225f1cfaa9-a096%22	http://itbanglaapp2020.herokuapp.com/static/js/jquery.flexslider.js	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/js/jquery.flexslider.js	(from http://itbanglaapp2020.herokuapp.com/)
16:55:12	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f1cfaa9-4e9f%22	http://itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.eot	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.eot	(from http://itbanglaapp2020.herokuapp.com/static/css/bootstrap.css)
16:55:16	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f1cfaa9-4e9f%22	http://itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.eot?	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regulard41d.eot	(from http://itbanglaapp2020.herokuapp.com/static/css/bootstrap.css)
16:55:16	67546/67546	---M--	200	added ('OK')	application/javascript	etag:%225f1cfaa9-107da%22	http://itbanglaapp2020.herokuapp.com/static/js/bootstrap.js	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/js/bootstrap.js	(from http://itbanglaapp2020.herokuapp.com/)
16:55:19	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%225f1cfaa9-466c%22	http://itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.woff2	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.woff2	(from http://itbanglaapp2020.herokuapp.com/static/css/bootstrap.css)
16:55:20	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225f1cfaa9-5b80%22	http://itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.woff	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.woff	(from http://itbanglaapp2020.herokuapp.com/static/css/bootstrap.css)
16:55:22	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%225f1cfaa9-1a8c2%22	http://itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.svg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.svg	(from http://itbanglaapp2020.herokuapp.com/static/css/bootstrap.css)
16:55:28	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%225f1cfaa9-b15c%22	http://itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.ttf	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/fonts/glyphicons-halflings-regular.ttf	(from http://itbanglaapp2020.herokuapp.com/static/css/bootstrap.css)
16:55:58	181769/181769	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-2c609%22	http://itbanglaapp2020.herokuapp.com/static/images/banner2.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/banner2.jpg	(from http://itbanglaapp2020.herokuapp.com/static/css/style.css)
16:56:25	605819/605819	---M--	200	added ('OK')	image/jpeg	etag:%225f1cfaa9-93e7b%22	http://itbanglaapp2020.herokuapp.com/static/images/Pearson-Vue.jpg	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/images/Pearson-Vue.jpg	(from http://itbanglaapp2020.herokuapp.com/)
16:56:25	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225f1cfaa9-2876e%22	http://itbanglaapp2020.herokuapp.com/static/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/ITBL/Music/test/itbanglaapp2020.herokuapp.com/static/fonts/fontawesome-webfont3e6e.eot	(from http://itbanglaapp2020.herokuapp.com/static/css/font-awesome.css)
